Date,Gold Price/gram
01-01-13,53.879
02-01-13,54.217
03-01-13,53.491
04-01-13,53.242
07-01-13,52.956
08-01-13,53.386
09-01-13,53.308
10-01-13,53.848
11-01-13,53.442
14-01-13,53.63
15-01-13,54.009
16-01-13,54.019
17-01-13,54.249
18-01-13,54.18
21-01-13,54.346
22-01-13,54.398
23-01-13,54.165
24-01-13,53.617
25-01-13,53.328
28-01-13,53.211
29-01-13,53.494
30-01-13,53.911
31-01-13,53.494
01-02-13,53.604
04-02-13,53.845
05-02-13,53.794
06-02-13,53.938
07-02-13,53.711
08-02-13,53.615
11-02-13,53.007
12-02-13,53.107
13-02-13,52.823
14-02-13,52.556
15-02-13,51.757
18-02-13,51.746
19-02-13,51.595
20-02-13,50.297
21-02-13,50.693
22-02-13,50.83
25-02-13,51.231
26-02-13,51.899
27-02-13,51.341
28-02-13,50.78
01-03-13,50.687
04-03-13,50.641
05-03-13,50.642
06-03-13,50.941
07-03-13,50.756
08-03-13,50.769
11-03-13,50.86
12-03-13,51.215
13-03-13,51.045
14-03-13,51.124
15-03-13,51.21
18-03-13,51.611
19-03-13,51.841
20-03-13,51.639
21-03-13,51.907
22-03-13,51.731
25-03-13,51.611
26-03-13,51.44
27-03-13,51.597
28-03-13,51.332
01-04-13,51.334
02-04-13,51.409
03-04-13,50.676
04-04-13,50.084
05-04-13,49.95
08-04-13,50.837
09-04-13,50.574
10-04-13,50.978
11-04-13,50.138
12-04-13,50.181
15-04-13,47.609
16-04-13,43.469
17-04-13,44.017
18-04-13,44.283
19-04-13,44.731
22-04-13,45.133
23-04-13,45.871
24-04-13,45.447
25-04-13,46.039
26-04-13,47.179
29-04-13,46.997
30-04-13,47.467
29-03-13,47.481
01-05-13,46.877
02-05-13,47.179
03-05-13,47.282
06-05-13,47.264
07-05-13,46.706
08-05-13,47.394
09-05-13,46.876
10-05-13,46.571
13-05-13,45.998
14-05-13,45.827
15-05-13,44.777
16-05-13,44.57
17-05-13,43.71
20-05-13,44.823
21-05-13,44.237
22-05-13,44.052
23-05-13,44.732
24-05-13,44.581
27-05-13,44.844
28-05-13,44.392
29-05-13,44.808
30-05-13,45.449
31-05-13,44.62
03-06-13,45.362
04-06-13,45.013
05-06-13,45.1
06-06-13,45.455
07-06-13,44.473
10-06-13,44.583
11-06-13,44.321
12-06-13,44.653
13-06-13,44.562
14-06-13,44.712
17-06-13,44.518
18-06-13,43.979
19-06-13,43.454
20-06-13,41.081
21-06-13,41.681
24-06-13,41.24
25-06-13,41.079
26-06-13,39.404
27-06-13,38.602
28-06-13,39.692
01-07-13,40.288
02-07-13,39.963
03-07-13,40.288
04-07-13,40.193
05-07-13,39.33
08-07-13,39.767
09-07-13,40.214
10-07-13,40.627
11-07-13,41.334
12-07-13,41.333
15-07-13,41.265
16-07-13,41.523
17-07-13,40.982
18-07-13,41.29
19-07-13,41.676
22-07-13,42.944
23-07-13,43.305
24-07-13,42.487
25-07-13,42.894
26-07-13,42.865
29-07-13,42.683
30-07-13,42.648
31-07-13,42.575
01-08-13,42.109
02-08-13,42.18
05-08-13,41.907
06-08-13,41.242
07-08-13,41.396
08-08-13,42.22
09-08-13,42.261
12-08-13,42.984
13-08-13,42.48
14-08-13,42.962
15-08-13,43.933
16-08-13,44.265
19-08-13,43.908
20-08-13,44.092
21-08-13,43.94
22-08-13,44.249
23-08-13,44.937
26-08-13,45.178
27-08-13,45.522
28-08-13,45.591
29-08-13,45.245
30-08-13,44.858
02-09-13,44.751
03-09-13,45.425
04-09-13,44.695
05-09-13,43.966
06-09-13,44.753
09-09-13,44.579
10-09-13,43.834
11-09-13,43.913
12-09-13,42.489
13-09-13,42.646
16-09-13,42.24
17-09-13,42.114
18-09-13,43.869
19-09-13,43.897
20-09-13,42.638
23-09-13,42.415
24-09-13,42.54
25-09-13,42.865
26-09-13,42.558
27-09-13,42.978
30-09-13,42.7
01-10-13,41.39
02-10-13,42.307
03-10-13,42.347
04-10-13,42.147
07-10-13,42.51
08-10-13,42.452
09-10-13,41.983
10-10-13,41.364
11-10-13,40.905
14-10-13,40.868
15-10-13,41.192
16-10-13,41.234
17-10-13,42.433
18-10-13,42.329
21-10-13,42.323
22-10-13,43.092
23-10-13,42.87
24-10-13,43.292
25-10-13,43.427
28-10-13,43.492
29-10-13,43.22
30-10-13,43.159
31-10-13,42.518
01-11-13,42.316
04-11-13,42.257
05-11-13,42.163
06-11-13,42.364
07-11-13,41.983
08-11-13,41.428
11-11-13,41.22
12-11-13,40.706
13-11-13,41.226
14-11-13,41.392
15-11-13,41.483
18-11-13,41.021
19-11-13,41.001
20-11-13,39.956
21-11-13,39.943
22-11-13,39.99
25-11-13,40.24
26-11-13,39.939
27-11-13,39.788
28-11-13,39.949
29-11-13,40.301
02-12-13,39.198
03-12-13,39.359
04-12-13,39.971
05-12-13,39.388
06-12-13,39.516
09-12-13,39.879
10-12-13,40.57
11-12-13,40.259
12-12-13,39.391
13-12-13,39.825
16-12-13,39.898
17-12-13,39.59
18-12-13,39.208
19-12-13,38.198
20-12-13,38.683
23-12-13,38.533
24-12-13,38.738
25-12-13,38.745
26-12-13,38.931
27-12-13,38.999
30-12-13,38.478
31-12-13,38.771
02-01-14,39.317
03-01-14,39.774
06-01-14,39.794
07-01-14,39.607
08-01-14,39.42
09-01-14,39.467
10-01-14,40.135
13-01-14,40.281
14-01-14,40.044
15-01-14,39.926
16-01-14,39.946
17-01-14,40.504
20-01-14,40.305
21-01-14,39.876
22-01-14,39.767
23-01-14,40.649
24-01-14,40.842
27-01-14,40.4
28-01-14,40.376
29-01-14,40.765
30-01-14,39.979
31-01-14,40.009
03-02-14,40.423
04-02-14,40.334
05-02-14,40.439
06-02-14,40.434
07-02-14,40.744
10-02-14,40.982
11-02-14,41.51
12-02-14,41.529
13-02-14,41.881
14-02-14,42.393
17-02-14,42.722
18-02-14,42.492
19-02-14,42.151
20-02-14,42.526
21-02-14,42.577
24-02-14,42.969
25-02-14,43.114
26-02-14,42.75
27-02-14,42.812
28-02-14,42.651
03-03-14,43.412
04-03-14,42.897
05-03-14,42.974
06-03-14,43.414
07-03-14,43.089
10-03-14,43.077
11-03-14,43.371
12-03-14,43.948
13-03-14,44.061
14-03-14,44.467
17-03-14,43.955
18-03-14,43.566
19-03-14,42.763
20-03-14,42.687
21-03-14,42.904
24-03-14,42.07
25-03-14,42.152
26-03-14,41.937
27-03-14,41.508
28-03-14,41.645
31-03-14,41.287
01-04-14,41.119
02-04-14,41.474
03-04-14,41.351
04-04-14,41.909
07-04-14,41.694
08-04-14,42.054
09-04-14,42.196
10-04-14,42.378
11-04-14,42.375
14-04-14,42.655
15-04-14,41.874
16-04-14,41.869
17-04-14,41.638
21-04-14,41.485
22-04-14,41.266
23-04-14,41.28
24-04-14,41.596
25-04-14,41.895
28-04-14,41.676
29-04-14,41.667
30-04-14,41.506
01-05-14,41.3
02-05-14,41.786
05-05-14,42.105
06-05-14,42.045
07-05-14,41.472
08-05-14,41.468
09-05-14,41.433
12-05-14,41.653
13-05-14,41.609
14-05-14,41.975
15-05-14,41.681
16-05-14,41.589
19-05-14,41.564
20-05-14,41.61
21-05-14,41.543
22-05-14,41.6
23-05-14,41.559
26-05-14,41.544
27-05-14,40.629
28-05-14,40.47
29-05-14,40.364
30-05-14,40.176
02-06-14,39.978
03-06-14,40.023
04-06-14,39.988
05-06-14,40.295
06-06-14,40.288
09-06-14,40.254
10-06-14,40.518
11-06-14,40.532
12-06-14,40.932
13-06-14,41.049
16-06-14,40.887
17-06-14,40.887
18-06-14,41.083
19-06-14,42.455
20-06-14,42.272
23-06-14,42.375
24-06-14,42.391
25-06-14,42.398
26-06-14,42.347
27-06-14,42.317
30-06-14,42.67
01-07-14,42.646
02-07-14,42.665
03-07-14,42.426
04-07-14,42.469
07-07-14,42.438
08-07-14,42.433
09-07-14,42.663
10-07-14,42.929
11-07-14,43.037
14-07-14,42.032
15-07-14,41.606
16-07-14,41.789
17-07-14,42.382
18-07-14,42.149
21-07-14,42.187
22-07-14,42.043
23-07-14,41.937
24-07-14,41.598
25-07-14,42.02
28-07-14,41.934
29-07-14,41.761
30-07-14,41.665
31-07-14,41.219
01-08-14,41.596
04-08-14,41.42
05-08-14,41.435
06-08-14,41.979
07-08-14,42.217
08-08-14,42.106
11-08-14,42.063
12-08-14,42.08
13-08-14,42.204
14-08-14,42.203
15-08-14,41.947
18-08-14,41.709
19-08-14,41.646
20-08-14,41.528
21-08-14,41.043
22-08-14,41.189
25-08-14,41.045
26-08-14,41.172
27-08-14,41.244
28-08-14,41.45
29-08-14,41.391
01-09-14,41.391
02-09-14,40.706
03-09-14,40.813
04-09-14,40.55
05-09-14,40.793
08-09-14,40.374
09-09-14,40.384
10-09-14,40.17
11-09-14,39.887
12-09-14,39.535
15-09-14,39.632
16-09-14,39.706
17-09-14,39.334
18-09-14,39.389
19-09-14,39.084
22-09-14,39.062
23-09-14,39.317
24-09-14,39.127
25-09-14,39.287
26-09-14,39.169
29-09-14,39.067
30-09-14,38.868
01-10-14,39.005
02-10-14,39.047
03-10-14,38.307
06-10-14,38.811
07-10-14,38.864
08-10-14,39.277
09-10-14,39.35
10-10-14,39.326
13-10-14,39.764
14-10-14,39.62
15-10-14,39.901
16-10-14,39.837
17-10-14,39.812
20-10-14,40.087
21-10-14,40.17
22-10-14,39.9
23-10-14,39.626
24-10-14,39.579
26-10-14,39.579
27-10-14,39.407
28-10-14,39.49
29-10-14,38.967
30-10-14,38.557
31-10-14,37.711
03-11-14,37.49
04-11-14,37.571
05-11-14,36.665
06-11-14,36.719
07-11-14,37.867
10-11-14,37.047
11-11-14,37.424
12-11-14,37.381
13-11-14,37.376
14-11-14,38.219
17-11-14,38.172
18-11-14,38.498
19-11-14,38.034
20-11-14,38.41
21-11-14,38.627
24-11-14,38.543
25-11-14,38.626
26-11-14,38.539
27-11-14,38.394
28-11-14,37.523
01-12-14,38.948
02-12-14,38.52
03-12-14,38.88
04-12-14,38.767
05-12-14,38.334
08-12-14,38.688
09-12-14,39.594
10-12-14,39.39
11-12-14,39.455
12-12-14,39.309
15-12-14,38.367
16-12-14,38.43
17-12-14,38.231
18-12-14,38.53
19-12-14,38.449
22-12-14,37.84
23-12-14,37.849
24-12-14,37.784
25-12-14,37.716
26-12-14,38.444
29-12-14,38.044
30-12-14,38.591
31-12-14,38.039
01-01-15,38.095
02-01-15,38.219
05-01-15,38.742
06-01-15,39.191
07-01-15,38.944
08-01-15,38.865
09-01-15,39.32
11-01-15,39.357
12-01-15,39.636
13-01-15,39.605
14-01-15,39.535
15-01-15,40.612
16-01-15,41.026
19-01-15,41.053
20-01-15,41.609
21-01-15,41.575
22-01-15,41.87
23-01-15,41.612
26-01-15,41.197
27-01-15,41.56
28-01-15,41.262
29-01-15,40.452
30-01-15,41.272
02-02-15,40.983
03-02-15,40.529
04-02-15,40.808
05-02-15,40.667
06-02-15,39.672
09-02-15,39.833
10-02-15,39.661
11-02-15,39.163
12-02-15,39.176
13-02-15,39.509
16-02-15,39.579
17-02-15,38.872
18-02-15,38.999
19-02-15,38.787
20-02-15,38.664
23-02-15,38.637
24-02-15,38.615
25-02-15,38.707
26-02-15,38.876
27-02-15,39.025
02-03-15,38.796
03-03-15,38.717
04-03-15,38.611
05-03-15,38.356
06-03-15,37.575
09-03-15,37.53
10-03-15,37.417
11-03-15,37.113
12-03-15,37.092
13-03-15,37.253
16-03-15,37.121
17-03-15,36.951
18-03-15,37.528
19-03-15,37.69
20-03-15,38.024
23-03-15,38.314
24-03-15,38.295
25-03-15,38.457
26-03-15,38.727
27-03-15,38.558
29-03-15,38.469
30-03-15,38.12
31-03-15,38.049
01-04-15,38.716
02-04-15,38.637
03-04-15,38.933
06-04-15,39.054
07-04-15,38.857
08-04-15,38.671
09-04-15,38.421
10-04-15,38.835
13-04-15,38.544
14-04-15,38.341
15-04-15,38.648
16-04-15,38.537
17-04-15,38.725
20-04-15,38.295
21-04-15,38.667
22-04-15,38.173
23-04-15,38.39
24-04-15,37.918
27-04-15,38.648
28-04-15,38.97
29-04-15,38.732
30-04-15,38.076
01-05-15,37.89
04-05-15,38.202
05-05-15,38.362
06-05-15,38.317
07-05-15,38.079
08-05-15,38.22
11-05-15,38.069
12-05-15,38.374
13-05-15,39.075
14-05-15,39.268
15-05-15,39.363
18-05-15,39.411
19-05-15,38.846
20-05-15,38.895
21-05-15,38.788
22-05-15,38.779
25-05-15,38.812
26-05-15,38.173
27-05-15,38.2
28-05-15,38.21
29-05-15,38.281
01-06-15,38.237
02-06-15,38.37
03-06-15,38.113
04-06-15,37.828
05-06-15,37.685
08-06-15,37.745
09-06-15,37.832
10-06-15,38.126
11-06-15,38.012
12-06-15,37.988
15-06-15,38.144
16-06-15,37.998
17-06-15,38.113
18-06-15,38.638
19-06-15,38.596
22-06-15,38.113
23-06-15,37.882
24-06-15,37.787
25-06-15,37.724
26-06-15,37.764
29-06-15,37.949
30-06-15,37.7
01-07-15,37.573
02-07-15,37.493
03-07-15,37.568
06-07-15,37.621
07-07-15,37.129
08-07-15,37.237
09-07-15,37.284
10-07-15,37.416
13-07-15,37.231
14-07-15,37.15
15-07-15,36.962
16-07-15,36.818
17-07-15,36.469
20-07-15,35.268
21-07-15,35.412
22-07-15,35.181
23-07-15,35.07
24-07-15,35.334
27-07-15,35.189
28-07-15,35.216
29-07-15,35.472
